rna_id,decay_rate,decay_rate_std,half_life,half_life_std,r2_score,across_repl_corr
55439,0.29740838991042456,0.03338679348505728,2.3306241655412343,0.26163373444052834,0.9408397471787535,0.6589231437255754
55440,0.3005432523449704,0.02587759618804139,2.3063142331484956,0.1985799645890732,0.9658697705932391,0.6589231437255754
55499,0.27875933648366835,0.0034973895580625706,2.486543372155553,0.0311968414588188,0.9992314522996055,0.6589231437255754
55546,0.22706086046337962,0.022052979080717617,3.052693357830977,0.29648871506390545,0.9451708470488047,0.6589231437255754
55551,0.2504230554677724,0.016679550506893855,2.7679048131778274,0.18435765845695298,0.9761593314251473,0.6589231437255754
55556,0.22747409078230793,0.022049314527035093,3.0471478231922475,0.2953633995540813,0.9454562207036261,0.6589231437255754
55569,0.25393252358186275,0.02994393619720927,2.729651053684301,0.32188274207347667,0.9246584406947933,0.6589231437255754
55571,0.26568491178861847,0.0340156824584759,2.6089068283690118,0.334018765462132,0.9139844918057394,0.6589231437255754
55580,0.19292754263232106,0.018519444264593867,3.592784996390778,0.3448775669222735,0.9413611614254545,0.6589231437255754
55581,0.1671536206506399,0.01654624992041274,4.146767373999396,0.41048138272406,0.9336200287701092,0.6589231437255754
55613,0.1692837319441413,0.0043499957604888765,4.094588254875333,0.10521649862688816,0.995647584059024,0.6589231437255754
55615,0.33744593223617625,0.09268643690732825,2.054098492065437,0.5642002232020107,0.6617051989234357,0.6589231437255754
55619,0.23961453890298326,0.03206707822658371,2.8927592780194,0.38713150914637173,0.8978242914337793,0.6589231437255754
55628,-0.02581600212195015,0.013439219245558754,-26.849516717795524,13.977243265755178,-4.137063074539054,0.6589231437255754
55633,0.1521632144032048,0.01506959615636022,4.555287447616817,0.451136251826424,0.9313776360213599,0.6589231437255754
55640,0.21212748169518686,0.008659570100857798,3.267597272266457,0.13339142771337173,0.9900790596567568,0.6589231437255754
55641,0.1714945504858662,0.03446480886422902,4.041802952899493,0.812270511476328,0.7077695310648946,0.6589231437255754
55643,0.2839971805234554,0.017813329355258433,2.440683316934191,0.15308847678099605,0.9809823477295714,0.6589231437255754
55645,0.2544400899666744,0.026641096369910133,2.7242058460627456,0.28523740298133005,0.9410372439366983,0.6589231437255754
55650,0.20044236518968153,0.0014229889156806797,3.4580872157640425,0.024549799004979073,0.9996918831278225,0.6589231437255754
55652,0.22345810330080684,0.0011248306732725677,3.1019111427204282,0.015614223639950233,0.9998542128594484,0.6589231437255754
55655,0.2160192629856055,0.01614586610828689,3.2087285688319995,0.23982908345376913,0.9667998776176798,0.6589231437255754
55656,0.27644837311661363,0.005838420597296125,2.507329570239708,0.05295326733907774,0.9978050281016575,0.6589231437255754
55657,0.20269244169988335,0.03725542910393312,3.419699199175142,0.6285501324232146,0.7781500544073034,0.6589231437255754
55658,0.1770267878830999,0.008096372831995078,3.9154931795840238,0.1790762459294022,0.9864034249546825,0.6589231437255754
55664,0.3474644534317022,0.12711334646818961,1.9948722055281856,0.7297865416639192,0.3716191387573475,0.6589231437255754
55665,0.244194299630164,0.021766862611610992,2.838506802205159,0.2530173213678528,0.9561909872121013,0.6589231437255754
55666,0.2007781774000636,0.0339073442332391,3.4523033804555583,0.5830237161951871,0.8140039157925102,0.6589231437255754
55671,0.1283717490074108,0.009036094748950677,5.399530550292108,0.3800732640129148,0.9641784486881224,0.6589231437255754
55678,0.15844570106130063,0.005535877533760284,4.3746670052712595,0.15284492182463227,0.9917524522274346,0.6589231437255754
55679,0.26492233410579236,0.020641311836756503,2.6164165543066233,0.20385699142575295,0.9686920153922915,0.6589231437255754
55682,0.184543494292415,0.00591004146699498,3.756009840485797,0.1202869491163885,0.993466083135269,0.6589231437255754
55684,0.19490193304555375,0.0083396294366154,3.556389460734278,0.15217381260080304,0.9886037913238499,0.6589231437255754
55685,0.24678176922690562,0.01734991564319303,2.8087454868784296,0.19746797915097733,0.9731200650479075,0.6589231437255754
55689,0.23580051235385258,0.017984377913076374,2.939549085965421,0.22419782352596157,0.9672733148071064,0.6589231437255754
55693,0.22354790873433497,0.016215941504041455,3.100665018448835,0.22491913633845298,0.9693886969391787,0.6589231437255754
55697,0.26228035668137145,0.013383351082644258,2.642771991506813,0.13485243744990963,0.9865512620973815,0.6589231437255754
55700,0.28884142166924914,0.013001958163724734,2.3997499269812645,0.10802276201832474,0.99039160874776,0.6589231437255754
55701,0.21822163603755507,0.0026205550919720477,3.176344899369453,0.0381437283261389,0.9991581794415706,0.6589231437255754
55705,0.21083057305516623,0.00885538251437744,3.287697654640323,0.13809107427623257,0.9894589651344743,0.6589231437255754
55711,0.20095269489814352,0.005012103641351171,3.449305225348082,0.08603156722462277,0.9961967734854974,0.6589231437255754
55716,0.20367188897201258,0.0034741387351217463,3.403254047764999,0.058051097637852996,0.9982347843655802,0.6589231437255754
55717,0.4245675949711527,0.02002772160342821,1.63259558376574,0.07701287199007312,0.9935879860517829,0.6589231437255754
55719,0.14652160633361763,0.01279652032509524,4.730682374459547,0.41315594792555915,0.9463232157231422,0.6589231437255754
55720,0.26403168220704354,0.020324195693573435,2.625242451079813,0.20208158684904648,0.9693650380671858,0.6589231437255754
55742,0.2197157801849985,0.002745903078290425,3.1547446431763904,0.0394264946269423,0.9990918962666299,0.6589231437255754
55806,0.20980244515281832,0.006246378784307072,3.303808876274358,0.09836320857525677,0.9946998018602211,0.6589231437255754
55809,0.2561164862540548,0.009345197244646743,2.706374707453927,0.09875039998007806,0.9930099196617956,0.6589231437255754
